task_id,title,description,type,difficulty,estimated_time,category,skill_level,tags,steps,hints,video_url,web_url
machine-learning-linear-regression,Linear Regression: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Linear Regression in Machine Learning. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,Machine Learning,Beginner,"machine-learning,linear,easy","{"step_1": "Review the theoretical foundations of Linear Regression within Machine Learning.", "step_2": "Implement a concise example demonstrating Linear Regression.", "step_3": "Run targeted experiments to validate behavior and edge cases.", "step_4": "Document findings with metrics, code snippets, and key takeaways."}","{"hint_1": "Consult primary documentation for Linear Regression in Machine Learning.", "hint_2": "Start with a minimal, verifiable example before generalizing.", "hint_3": "Use version control to track incremental improvements."}",https://www.youtube.com/watch?v=6ffa3a671f6,https://scikit-learn.org/stable/#4ea7b52c
cloud-computing-serverless-medium,Serverless: Medium Practical Task 6,"A medium-level, course-ready exercise focused on Serverless in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,serverless,medium","{""step_1"": ""Review the theoretical foundations of Serverless within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Serverless."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Serverless in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=61942e2ebe2,https://docs.aws.amazon.com/#5ed36a91
cloud-computing-containers-medium,Containers: Medium Practical Task 7,"A medium-level, course-ready exercise focused on Containers in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,containers,medium","{""step_1"": ""Review the theoretical foundations of Containers within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Containers."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Containers in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=967a8df8053,https://docs.aws.amazon.com/#433e1239
cloud-computing-orchestration-medium,Orchestration: Medium Practical Task 8,"A medium-level, course-ready exercise focused on Orchestration in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,orchestration,medium","{""step_1"": ""Review the theoretical foundations of Orchestration within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Orchestration."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Orchestration in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=241db038d62,https://docs.aws.amazon.com/#024874cd
cloud-computing-monitoring-medium,Monitoring: Medium Practical Task 9,"A medium-level, course-ready exercise focused on Monitoring in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Medium,25 minutes,Cloud Computing,Intermediate,"cloud-computing,monitoring,medium","{""step_1"": ""Review the theoretical foundations of Monitoring within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Monitoring."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Monitoring in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=162f589e8bf,https://docs.aws.amazon.com/#2e87a192
cloud-computing-storage-hard,Storage: Hard Practical Task 3,"A hard-level, course-ready exercise focused on Storage in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,storage,hard","{""step_1"": ""Review the theoretical foundations of Storage within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Storage."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Storage in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=cc84ca81055,https://docs.aws.amazon.com/#5c9c1257
cloud-computing-networking-hard,Networking: Hard Practical Task 4,"A hard-level, course-ready exercise focused on Networking in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,networking,hard","{""step_1"": ""Review the theoretical foundations of Networking within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Networking."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Networking in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=f8815703a54,https://docs.aws.amazon.com/#d0b3f90f
cloud-computing-iam-hard,IAM: Hard Practical Task 5,"A hard-level, course-ready exercise focused on IAM in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,iam,hard","{""step_1"": ""Review the theoretical foundations of IAM within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating IAM."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for IAM in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=2ea37f5a380,https://docs.aws.amazon.com/#e67dc6d5
cloud-computing-serverless-hard,Serverless: Hard Practical Task 6,"A hard-level, course-ready exercise focused on Serverless in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,serverless,hard","{""step_1"": ""Review the theoretical foundations of Serverless within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Serverless."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Serverless in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=5259eb6be06,https://docs.aws.amazon.com/#d13d4e41
cloud-computing-containers-hard,Containers: Hard Practical Task 7,"A hard-level, course-ready exercise focused on Containers in Cloud Computing. Learners will implement, validate, and summarize results concisely.",project,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,containers,hard","{""step_1"": ""Review the theoretical foundations of Containers within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Containers."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Containers in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=21d536b4fb0,https://docs.aws.amazon.com/#9c40fbdb
cloud-computing-orchestration-hard,Orchestration: Hard Practical Task 8,"A hard-level, course-ready exercise focused on Orchestration in Cloud Computing. Learners will implement, validate, and summarize results concisely.",coding,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,orchestration,hard","{""step_1"": ""Review the theoretical foundations of Orchestration within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Orchestration."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Orchestration in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=2a9a9c989b1,https://docs.aws.amazon.com/#b2e1c0c5
cloud-computing-monitoring-hard,Monitoring: Hard Practical Task 9,"A hard-level, course-ready exercise focused on Monitoring in Cloud Computing. Learners will implement, validate, and summarize results concisely.",practice,Hard,40 minutes,Cloud Computing,Advanced,"cloud-computing,monitoring,hard","{""step_1"": ""Review the theoretical foundations of Monitoring within Cloud Computing."", ""step_2"": ""Implement a concise example demonstrating Monitoring."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Monitoring in Cloud Computing."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=738298bf928,https://docs.aws.amazon.com/#371eafc0
devops-git-workflow,Git Workflow: Easy Practical Task 1,"A easy-level, course-ready exercise focused on Git Workflow in DevOps. Learners will implement, validate, and summarize results concisely.",coding,Easy,15 minutes,DevOps,Beginner,"devops,git,easy","{""step_1"": ""Review the theoretical foundations of Git Workflow within DevOps."", ""step_2"": ""Implement a concise example demonstrating Git Workflow."", ""step_3"": ""Run targeted experiments to validate behavior and edge cases."", ""step_4"": ""Document findings with metrics, code snippets, and key takeaways.""}","{""hint_1"": ""Consult primary documentation for Git Workflow in DevOps."", ""hint_2"": ""Start with a minimal, verifiable example before generalizing."", ""hint_3"": ""Use version control to track incremental improvements.""}",https://www.youtube.com/watch?v=e3912d31cbe,https://kubernetes.io/docs/#02991e0a
